sample_number,year,date_egg,region,island,stage,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g
127,2009,2009/11/21,Anvers,Torgersen,"Adult, 1 Egg Stage",38.8,17.6,191.2,3274.9
128,2009,2009/11/21,Anvers,Torgersen,"Adult, 1 Egg Stage",41.5,18.3,195.1,4300.3
129,2009,2009/11/18,Anvers,Torgersen,"Adult, 1 Egg Stage",39,17.1,191.1,3049.9
130,2009,2009/11/18,Anvers,Torgersen,"Adult, 1 Egg Stage",44.1,18,209.9,4000
131,2009,2009/11/23,Anvers,Torgersen,"Adult, 1 Egg Stage",38.5,17.9,190.1,3324.9
132,2009,2009/11/23,Anvers,Torgersen,"Adult, 1 Egg Stage",43.1,19.2,197.1,3500.3
133,2009,2009/11/10,Anvers,Dream,"Adult, 1 Egg Stage",36.8,18.5,193,3500.1
134,2009,2009/11/10,Anvers,Dream,"Adult, 1 Egg Stage",37.5,18.5,198.8,4474.7
135,2009,2009/11/13,Anvers,Dream,"Adult, 1 Egg Stage",38.1,17.6,187.3,3425.1
136,2009,2009/11/13,Anvers,Dream,"Adult, 1 Egg Stage",41.1,17.5,190.1,3899.9
137,2009,2009/11/16,Anvers,Dream,"Adult, 1 Egg Stage",35.6,17.5,190.9,3175.2
138,2009,2009/11/16,Anvers,Dream,"Adult, 1 Egg Stage",40.2,20.1,199.9,3974.9
139,2009,2009/11/16,Anvers,Dream,"Adult, 1 Egg Stage",37,16.5,184.8,3400.3
140,2009,2009/11/16,Anvers,Dream,"Adult, 1 Egg Stage",39.7,17.9,192.9,4250.4
141,2009,2009/11/14,Anvers,Dream,"Adult, 1 Egg Stage",40.2,17.1,192.9,3400.1
142,2009,2009/11/14,Anvers,Dream,"Adult, 1 Egg Stage",40.6,17.2,187.3,3474.8
143,2009,2009/11/16,Anvers,Dream,"Adult, 1 Egg Stage",32.1,15.5,188.1,3050.3
144,2009,2009/11/16,Anvers,Dream,"Adult, 1 Egg Stage",40.7,17,190.3,3724.9
145,2009,2009/11/16,Anvers,Dream,"Adult, 1 Egg Stage",37.3,16.8,191.7,2999.9
146,2009,2009/11/16,Anvers,Dream,"Adult, 1 Egg Stage",39,18.7,184.6,3650.3
147,2009,2009/11/13,Anvers,Dream,"Adult, 1 Egg Stage",39.2,18.6,190,4250.2
148,2009,2009/11/13,Anvers,Dream,"Adult, 1 Egg Stage",36.6,18.4,184.3,3475
149,2009,2009/11/17,Anvers,Dream,"Adult, 1 Egg Stage",36,17.8,195,3450.1
150,2009,2009/11/17,Anvers,Dream,"Adult, 1 Egg Stage",37.8,18.1,193,3750.3
151,2009,2009/11/17,Anvers,Dream,"Adult, 1 Egg Stage",36,17.1,186.7,3700.3
152,2009,2009/11/17,Anvers,Dream,"Adult, 1 Egg Stage",41.5,18.5,201.2,4000
233,2009,2009/11/18,Anvers,Biscoe,"Adult, 1 Egg Stage",49.1,14.5,211.7,4625.1
234,2009,2009/11/18,Anvers,Biscoe,"Adult, 1 Egg Stage",52.5,15.6,221.5,5449.6
235,2009,2009/11/15,Anvers,Biscoe,"Adult, 1 Egg Stage",47.4,14.6,212,4724.9
236,2009,2009/11/15,Anvers,Biscoe,"Adult, 1 Egg Stage",50,15.9,224,5349.7
237,2009,2009/11/22,Anvers,Biscoe,"Adult, 1 Egg Stage",44.9,13.8,212.2,4750.2
238,2009,2009/11/22,Anvers,Biscoe,"Adult, 1 Egg Stage",50.8,17.3,228.3,5599.6
239,2009,2009/11/20,Anvers,Biscoe,"Adult, 1 Egg Stage",43.4,14.4,218.2,4600.1
240,2009,2009/11/20,Anvers,Biscoe,"Adult, 1 Egg Stage",51.3,14.2,217.6,5300.2
241,2009,2009/11/25,Anvers,Biscoe,"Adult, 1 Egg Stage",47.5,14,212.2,4875.2
242,2009,2009/11/25,Anvers,Biscoe,"Adult, 1 Egg Stage",52.1,17,230.3,5550.2
243,2009,2009/11/25,Anvers,Biscoe,"Adult, 1 Egg Stage",47.5,15,217.9,4950.1
244,2009,2009/11/25,Anvers,Biscoe,"Adult, 1 Egg Stage",52.2,17.1,227.8,5399.9
245,2009,2009/12/01,Anvers,Biscoe,"Adult, 1 Egg Stage",45.5,14.5,211.8,4750.2
246,2009,2009/12/01,Anvers,Biscoe,"Adult, 1 Egg Stage",49.5,16.1,223.9,5649.9
247,2009,2009/11/27,Anvers,Biscoe,"Adult, 1 Egg Stage",44.5,14.7,214.1,4850
248,2009,2009/11/27,Anvers,Biscoe,"Adult, 1 Egg Stage",50.8,15.7,226.3,5199.8
249,2009,2009/11/18,Anvers,Biscoe,"Adult, 1 Egg Stage",49.4,15.8,216.2,4925.1
250,2009,2009/11/18,Anvers,Biscoe,"Adult, 1 Egg Stage",46.9,14.6,222,4875.1
251,2009,2009/11/18,Anvers,Biscoe,"Adult, 1 Egg Stage",48.4,14.4,202.8,4624.9
252,2009,2009/11/18,Anvers,Biscoe,"Adult, 1 Egg Stage",51.1,16.5,225.1,5249.9
253,2009,2009/11/22,Anvers,Biscoe,"Adult, 1 Egg Stage",48.5,15,218.9,4850.1
254,2009,2009/11/22,Anvers,Biscoe,"Adult, 1 Egg Stage",55.9,17,228.2,5600.2
255,2009,2009/11/18,Anvers,Biscoe,"Adult, 1 Egg Stage",47.2,15.5,215.2,4974.9
256,2009,2009/11/18,Anvers,Biscoe,"Adult, 1 Egg Stage",49.1,15,228.1,5500.3
257,2009,2009/12/01,Anvers,Biscoe,"Adult, 1 Egg Stage",47.3,13.8,215.9,4724.7
258,2009,2009/12/01,Anvers,Biscoe,"Adult, 1 Egg Stage",46.8,16.1,215,5500
259,2009,2009/11/10,Anvers,Biscoe,"Adult, 1 Egg Stage",41.7,14.7,209.8,4700.2
260,2009,2009/11/10,Anvers,Biscoe,"Adult, 1 Egg Stage",53.4,15.8,219,5500
261,2009,2009/11/09,Anvers,Biscoe,"Adult, 1 Egg Stage",43.3,14,208,4575.2
262,2009,2009/11/09,Anvers,Biscoe,"Adult, 1 Egg Stage",48.1,15.1,209,5500.1
263,2009,2009/11/20,Anvers,Biscoe,"Adult, 1 Egg Stage",50.5,15.2,215.9,5000
264,2009,2009/11/20,Anvers,Biscoe,"Adult, 1 Egg Stage",49.8,15.9,229,5950.1
265,2009,2009/11/27,Anvers,Biscoe,"Adult, 1 Egg Stage",43.5,15.2,213,4650.1
266,2009,2009/11/27,Anvers,Biscoe,"Adult, 1 Egg Stage",51.5,16.3,230.2,5500.1
267,2009,2009/11/25,Anvers,Biscoe,"Adult, 1 Egg Stage",46.2,14.1,216.9,4375.2
268,2009,2009/11/25,Anvers,Biscoe,"Adult, 1 Egg Stage",55.1,16,230.1,5850.2
269,2009,2009/12/01,Anvers,Biscoe,"Adult, 1 Egg Stage",44.5,15.7,216.8,4875
270,2009,2009/12/01,Anvers,Biscoe,"Adult, 1 Egg Stage",48.8,16.2,222.2,6000.3
271,2009,2009/12/01,Anvers,Biscoe,"Adult, 1 Egg Stage",47.2,13.7,213.6,4924.8
272,2009,2009/12/01,Anvers,Biscoe,"Adult, 1 Egg Stage",NA,NA,NA,NA
273,2009,2009/11/22,Anvers,Biscoe,"Adult, 1 Egg Stage",46.8,14.3,215.1,4849.8
274,2009,2009/11/22,Anvers,Biscoe,"Adult, 1 Egg Stage",50.4,15.7,221.5,5750.2
275,2009,2009/11/22,Anvers,Biscoe,"Adult, 1 Egg Stage",45.2,14.8,212,5200.2
276,2009,2009/11/22,Anvers,Biscoe,"Adult, 1 Egg Stage",49.9,16.1,213.4,5399.9
321,2009,2009/11/17,Anvers,Dream,"Adult, 1 Egg Stage",50.9,17.9,196.1,3675.1
322,2009,2009/11/17,Anvers,Dream,"Adult, 1 Egg Stage",50.8,18.5,201.2,4450.1
323,2009,2009/11/27,Anvers,Dream,"Adult, 1 Egg Stage",50.1,17.9,189.8,3399.8
324,2009,2009/11/27,Anvers,Dream,"Adult, 1 Egg Stage",49,19.6,212.1,4300.1
325,2009,2009/11/23,Anvers,Dream,"Adult, 1 Egg Stage",51.5,18.7,186.6,3250.2
326,2009,2009/11/23,Anvers,Dream,"Adult, 1 Egg Stage",49.8,17.3,198.1,3674.5
327,2009,2009/11/21,Anvers,Dream,"Adult, 1 Egg Stage",48.1,16.4,198.8,3325
328,2009,2009/11/21,Anvers,Dream,"Adult, 1 Egg Stage",51.4,19,201,3950.1
329,2009,2009/11/23,Anvers,Dream,"Adult, 1 Egg Stage",45.7,17.3,193.1,3600.3
330,2009,2009/11/23,Anvers,Dream,"Adult, 1 Egg Stage",50.7,19.7,202.7,4049.8
331,2009,2009/11/27,Anvers,Dream,"Adult, 1 Egg Stage",42.5,17.3,187.1,3350
332,2009,2009/11/27,Anvers,Dream,"Adult, 1 Egg Stage",52.2,18.8,197.1,3450.1
333,2009,2009/11/21,Anvers,Dream,"Adult, 1 Egg Stage",45.2,16.6,191.1,3249.8
334,2009,2009/11/21,Anvers,Dream,"Adult, 1 Egg Stage",49.3,19.9,202.8,4049.8
335,2009,2009/11/21,Anvers,Dream,"Adult, 1 Egg Stage",50.2,18.8,202.3,3799.8
336,2009,2009/11/21,Anvers,Dream,"Adult, 1 Egg Stage",45.6,19.4,194,3525.2
337,2009,2009/11/27,Anvers,Dream,"Adult, 1 Egg Stage",51.9,19.5,205.8,3950.1
338,2009,2009/11/27,Anvers,Dream,"Adult, 1 Egg Stage",46.8,16.5,189.2,3650.1
339,2009,2009/11/19,Anvers,Dream,"Adult, 1 Egg Stage",45.7,17,195,3650.1
340,2009,2009/11/19,Anvers,Dream,"Adult, 1 Egg Stage",55.8,19.8,207.2,4000.1
341,2009,2009/11/21,Anvers,Dream,"Adult, 1 Egg Stage",43.5,18.1,202.2,3400.1
342,2009,2009/11/21,Anvers,Dream,"Adult, 1 Egg Stage",49.6,18.2,193.2,3775.4
343,2009,2009/11/21,Anvers,Dream,"Adult, 1 Egg Stage",50.8,19,210.3,4099.9
344,2009,2009/11/21,Anvers,Dream,"Adult, 1 Egg Stage",50.2,18.7,198.2,3775.1
