sample_number,year,date_egg,region,island,stage,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g
48,2007,2007/11/13,Anvers,Dream,"Adult, 1 Egg Stage",37.5,18.9,178.9,2975.1
49,2007,2007/11/13,Anvers,Dream,"Adult, 1 Egg Stage",36,17.9,190,3449.7
50,2007,2007/11/13,Anvers,Dream,"Adult, 1 Egg Stage",42.3,21.2,190.8,4150
153,2007,2007/11/27,Anvers,Biscoe,"Adult, 1 Egg Stage",46.1,13.2,210.8,4499.9
154,2007,2007/11/27,Anvers,Biscoe,"Adult, 1 Egg Stage",50,16.3,230.2,5700
155,2007,2007/11/27,Anvers,Biscoe,"Adult, 1 Egg Stage",48.7,14.1,209.8,4450
156,2007,2007/11/27,Anvers,Biscoe,"Adult, 1 Egg Stage",50,15.2,218.2,5699.7
157,2007,2007/11/18,Anvers,Biscoe,"Adult, 1 Egg Stage",47.6,14.5,214.6,5399.7
158,2007,2007/11/18,Anvers,Biscoe,"Adult, 1 Egg Stage",46.5,13.5,209.9,4550.4
159,2007,2007/11/27,Anvers,Biscoe,"Adult, 1 Egg Stage",45.4,14.6,211.4,4799.7
160,2007,2007/11/27,Anvers,Biscoe,"Adult, 1 Egg Stage",46.7,15.3,218.9,5199.8
161,2007,2007/11/27,Anvers,Biscoe,"Adult, 1 Egg Stage",43.3,13.4,209,4400
162,2007,2007/11/27,Anvers,Biscoe,"Adult, 1 Egg Stage",46.8,15.4,215.2,5150
163,2007,2007/11/27,Anvers,Biscoe,"Adult, 1 Egg Stage",40.9,13.7,213.9,4650.3
164,2007,2007/11/27,Anvers,Biscoe,"Adult, 1 Egg Stage",49,16.1,215.9,5550
165,2007,2007/11/29,Anvers,Biscoe,"Adult, 1 Egg Stage",45.5,13.7,213.9,4650.1
166,2007,2007/11/29,Anvers,Biscoe,"Adult, 1 Egg Stage",48.4,14.6,212.9,5849.7
167,2007,2007/12/03,Anvers,Biscoe,"Adult, 1 Egg Stage",45.8,14.6,210,4200.1
168,2007,2007/12/03,Anvers,Biscoe,"Adult, 1 Egg Stage",49.3,15.7,217.1,5849.9
169,2007,2007/11/27,Anvers,Biscoe,"Adult, 1 Egg Stage",42,13.5,209.8,4150
170,2007,2007/11/27,Anvers,Biscoe,"Adult, 1 Egg Stage",49.2,15.2,221.4,6299.6
171,2007,2007/11/27,Anvers,Biscoe,"Adult, 1 Egg Stage",46.2,14.5,208.8,4799.6
172,2007,2007/11/27,Anvers,Biscoe,"Adult, 1 Egg Stage",48.7,15.1,221.9,5350.2
173,2007,2007/11/27,Anvers,Biscoe,"Adult, 1 Egg Stage",50.2,14.3,218.1,5700.1
174,2007,2007/11/27,Anvers,Biscoe,"Adult, 1 Egg Stage",45.1,14.5,215.4,4999.7
175,2007,2007/11/27,Anvers,Biscoe,"Adult, 1 Egg Stage",46.5,14.5,213.1,4400.1
176,2007,2007/11/27,Anvers,Biscoe,"Adult, 1 Egg Stage",46.3,15.8,214.8,5050.2
177,2007,2007/11/29,Anvers,Biscoe,"Adult, 1 Egg Stage",42.9,13.1,214.8,4999.5
178,2007,2007/11/29,Anvers,Biscoe,"Adult, 1 Egg Stage",46.1,15.1,215,5100.1
179,2007,2007/11/29,Anvers,Biscoe,"Adult, 1 Egg Stage",44.5,14.3,215.7,4100.1
180,2007,2007/11/29,Anvers,Biscoe,"Adult, 1 Egg Stage",47.8,15,215,5650.1
181,2007,2007/11/29,Anvers,Biscoe,"Adult, 1 Egg Stage",48.2,14.3,210,4600.1
182,2007,2007/11/29,Anvers,Biscoe,"Adult, 1 Egg Stage",50,15.3,220.1,5549.8
183,2007,2007/11/29,Anvers,Biscoe,"Adult, 1 Egg Stage",47.3,15.3,222.2,5250
184,2007,2007/11/29,Anvers,Biscoe,"Adult, 1 Egg Stage",42.8,14.2,209.6,4700
185,2007,2007/12/03,Anvers,Biscoe,"Adult, 1 Egg Stage",45.1,14.5,207,5049.9
186,2007,2007/12/03,Anvers,Biscoe,"Adult, 1 Egg Stage",59.6,17,230.1,6050.1
277,2007,2007/11/19,Anvers,Dream,"Adult, 1 Egg Stage",46.5,17.9,192,3500
278,2007,2007/11/19,Anvers,Dream,"Adult, 1 Egg Stage",50,19.5,196,3900.1
279,2007,2007/11/26,Anvers,Dream,"Adult, 1 Egg Stage",51.3,19.2,192.9,3650.2
280,2007,2007/11/26,Anvers,Dream,"Adult, 1 Egg Stage",45.4,18.7,187.7,3525.1
281,2007,2007/11/21,Anvers,Dream,"Adult, 1 Egg Stage",52.7,19.8,197.1,3724.9
282,2007,2007/11/21,Anvers,Dream,"Adult, 1 Egg Stage",45.2,17.8,197.9,3950.1
283,2007,2007/11/28,Anvers,Dream,"Adult, 1 Egg Stage",46.1,18.2,178.1,3249.8
284,2007,2007/11/28,Anvers,Dream,"Adult, 1 Egg Stage",51.3,18.2,196.6,3750
285,2007,2007/11/21,Anvers,Dream,"Adult, 1 Egg Stage",46,18.9,194.6,4149.8
286,2007,2007/11/21,Anvers,Dream,"Adult, 1 Egg Stage",51.3,19.9,197.9,3700.2
287,2007,2007/11/28,Anvers,Dream,"Adult, 1 Egg Stage",46.6,17.8,192.8,3799.8
288,2007,2007/11/28,Anvers,Dream,"Adult, 1 Egg Stage",51.7,20.3,193.9,3775.1
289,2007,2007/11/26,Anvers,Dream,"Adult, 1 Egg Stage",47,17.3,185.1,3700.1
290,2007,2007/11/26,Anvers,Dream,"Adult, 1 Egg Stage",52,18.1,200.8,4050.1
291,2007,2007/11/22,Anvers,Dream,"Adult, 1 Egg Stage",45.9,17.1,190.3,3575
292,2007,2007/11/22,Anvers,Dream,"Adult, 1 Egg Stage",50.5,19.6,200.9,4049.7
293,2007,2007/11/30,Anvers,Dream,"Adult, 1 Egg Stage",50.3,20,197.2,3300.1
294,2007,2007/11/30,Anvers,Dream,"Adult, 1 Egg Stage",58,17.8,181.2,3699.7
295,2007,2007/11/30,Anvers,Dream,"Adult, 1 Egg Stage",46.4,18.6,190.2,3450.3
296,2007,2007/11/30,Anvers,Dream,"Adult, 1 Egg Stage",49.2,18.2,195,4400
297,2007,2007/12/03,Anvers,Dream,"Adult, 1 Egg Stage",42.4,17.3,181.2,3600.2
298,2007,2007/12/03,Anvers,Dream,"Adult, 1 Egg Stage",48.5,17.5,190.9,3400.2
299,2007,2007/11/28,Anvers,Dream,"Adult, 1 Egg Stage",43.2,16.6,187.2,2900.1
300,2007,2007/11/28,Anvers,Dream,"Adult, 1 Egg Stage",50.6,19.4,193.1,3799.9
301,2007,2007/11/28,Anvers,Dream,"Adult, 1 Egg Stage",46.7,17.9,194.8,3300.1
302,2007,2007/11/28,Anvers,Dream,"Adult, 1 Egg Stage",52,19,197.2,4150
