id,order_date,order_time,price,num_pizza,size_1,pizza_1,size_2,pizza_2,size_3,pizza_3,size_4,pizza_4,size_5,pizza_5
2015-000065,1-Jan-15,21:16:00,52.25,4,medium,spinach_supr,small,pep_msh_pep,small,sicilian,small,spicy_ital,NA,NA
2015-000066,1-Jan-15,21:47:55,32,2,medium,classic_dlx,medium,ital_cpcllo,NA,NA,NA,NA,NA,NA
2015-000067,1-Jan-15,22:03:40,20.75,1,large,southw_ckn,NA,NA,NA,NA,NA,NA,NA,NA
2015-000068,1-Jan-15,22:07:32,53.25,3,large,ital_supr,medium,classic_dlx,medium,ital_supr,NA,NA,NA,NA
2015-000069,1-Jan-15,22:12:13,20.75,1,large,bbq_ckn,NA,NA,NA,NA,NA,NA,NA,NA
2015-000070,2-Jan-15,11:38:51,33.5,2,large,soppressata,small,ital_veggie,NA,NA,NA,NA,NA,NA
2015-000071,2-Jan-15,11:40:50,20.75,1,large,thai_ckn,NA,NA,NA,NA,NA,NA,NA,NA
2015-000072,2-Jan-15,11:57:25,20.25,1,large,spinach_fet,NA,NA,NA,NA,NA,NA,NA,NA
2015-000073,2-Jan-15,11:58:56,12.75,1,small,thai_ckn,NA,NA,NA,NA,NA,NA,NA,NA
2015-000074,2-Jan-15,12:01:12,72,4,large,mexicana,small,spin_pesto,large,spinach_supr,large,five_cheese,NA,NA
2015-000075,2-Jan-15,12:10:15,53.25,3,large,napolitana,small,ital_supr,large,mediterraneo,NA,NA,NA,NA
2015-000076,2-Jan-15,12:21:17,70.25,4,large,hawaiian,large,ital_veggie,large,spicy_ital,small,big_meat,NA,NA
2015-000077,2-Jan-15,12:22:46,30,2,medium,hawaiian,medium,bbq_ckn,NA,NA,NA,NA,NA,NA
2015-000078,2-Jan-15,12:28:14,132.95,8,small,classic_dlx,large,spicy_ital,large,spicy_ital,small,thai_ckn,large,four_cheese
2015-000079,2-Jan-15,12:29:11,52.25,3,large,ital_cpcllo,large,thai_ckn,small,pep_msh_pep,NA,NA,NA,NA
2015-000080,2-Jan-15,12:35:38,26.5,2,small,pepperoni,medium,thai_ckn,NA,NA,NA,NA,NA,NA
2015-000081,2-Jan-15,12:40:01,20.75,1,large,thai_ckn,NA,NA,NA,NA,NA,NA,NA,NA
2015-000082,2-Jan-15,12:45:51,65.5,4,large,spicy_ital,small,big_meat,medium,cali_ckn,medium,veggie_veg,NA,NA
2015-000083,2-Jan-15,12:53:27,12.75,1,small,southw_ckn,NA,NA,NA,NA,NA,NA,NA,NA
2015-000084,2-Jan-15,13:13:41,15.25,1,large,pepperoni,NA,NA,NA,NA,NA,NA,NA,NA
2015-000085,2-Jan-15,13:34:49,64.75,4,small,classic_dlx,medium,classic_dlx,large,ital_supr,medium,the_greek,NA,NA
2015-000086,2-Jan-15,13:40:31,16.5,1,large,hawaiian,NA,NA,NA,NA,NA,NA,NA,NA
2015-000087,2-Jan-15,14:01:02,65.25,4,medium,mexicana,medium,ital_cpcllo,small,spinach_supr,large,spinach_supr,NA,NA
2015-000088,2-Jan-15,14:10:08,18.5,1,large,five_cheese,NA,NA,NA,NA,NA,NA,NA,NA
2015-000089,2-Jan-15,14:30:19,41.5,2,large,thai_ckn,large,soppressata,NA,NA,NA,NA,NA,NA
2015-000090,2-Jan-15,15:08:48,33,2,small,thai_ckn,large,sicilian,NA,NA,NA,NA,NA,NA
2015-000091,2-Jan-15,15:14:43,64,4,large,bbq_ckn,small,pepperoni,large,bbq_ckn,small,ckn_pesto,NA,NA
2015-000092,2-Jan-15,15:17:02,152.25,10,small,spinach_fet,medium,ital_supr,medium,peppr_salami,medium,bbq_ckn,small,spinach_supr
2015-000093,2-Jan-15,15:29:31,16.25,1,medium,sicilian,NA,NA,NA,NA,NA,NA,NA,NA
2015-000094,2-Jan-15,16:17:16,28.75,2,medium,ital_cpcllo,small,southw_ckn,NA,NA,NA,NA,NA,NA
2015-000095,2-Jan-15,16:18:04,32.75,2,large,peppr_salami,small,napolitana,NA,NA,NA,NA,NA,NA
2015-000096,2-Jan-15,16:21:20,12,1,small,napolitana,NA,NA,NA,NA,NA,NA,NA,NA
2015-000097,2-Jan-15,16:45:33,12,1,small,big_meat,NA,NA,NA,NA,NA,NA,NA,NA
2015-000098,2-Jan-15,17:18:18,41,2,large,napolitana,large,classic_dlx,NA,NA,NA,NA,NA,NA
2015-000099,2-Jan-15,17:45:42,20.75,1,large,ital_supr,NA,NA,NA,NA,NA,NA,NA,NA
2015-000100,2-Jan-15,17:46:17,16.5,1,large,hawaiian,NA,NA,NA,NA,NA,NA,NA,NA
2015-000101,2-Jan-15,17:51:33,73.25,4,large,soppressata,large,cali_ckn,large,pepperoni,medium,spicy_ital,NA,NA
2015-000102,2-Jan-15,17:54:04,25.25,2,small,prsc_argla,small,bbq_ckn,NA,NA,NA,NA,NA,NA
2015-000103,2-Jan-15,18:02:09,12.5,1,small,spinach_supr,NA,NA,NA,NA,NA,NA,NA,NA
2015-000104,2-Jan-15,18:02:12,70.5,4,large,veggie_veg,medium,bbq_ckn,medium,ital_veggie,medium,ckn_alfredo,NA,NA
2015-000105,2-Jan-15,18:12:01,52.75,4,small,hawaiian,small,hawaiian,medium,prsc_argla,large,pepperoni,NA,NA
2015-000106,2-Jan-15,18:12:13,41,2,large,spicy_ital,large,mexicana,NA,NA,NA,NA,NA,NA
2015-000107,2-Jan-15,18:25:09,78.25,4,medium,ital_supr,large,cali_ckn,large,veggie_veg,large,spicy_ital,NA,NA
2015-000108,2-Jan-15,18:25:25,57.75,3,large,hawaiian,large,classic_dlx,large,spinach_supr,NA,NA,NA,NA
2015-000109,2-Jan-15,18:27:50,74.5,4,large,prsc_argla,medium,pepperoni,large,ital_cpcllo,large,ital_supr,NA,NA
2015-000110,2-Jan-15,18:36:19,65.75,4,large,soppressata,large,napolitana,small,big_meat,small,spicy_ital,NA,NA
2015-000111,2-Jan-15,18:38:01,68.5,4,medium,cali_ckn,large,spin_pesto,medium,pepperoni,large,five_cheese,NA,NA
2015-000112,2-Jan-15,18:41:40,9.75,1,small,pepperoni,NA,NA,NA,NA,NA,NA,NA,NA
2015-000113,2-Jan-15,18:50:21,57.75,3,large,cali_ckn,medium,southw_ckn,large,mexicana,NA,NA,NA,NA
2015-000114,2-Jan-15,18:59:32,27.5,2,large,pepperoni,small,sicilian,NA,NA,NA,NA,NA,NA
2015-000115,2-Jan-15,19:05:17,49.25,3,medium,thai_ckn,small,big_meat,large,napolitana,NA,NA,NA,NA
2015-000116,2-Jan-15,19:18:49,18.5,1,large,five_cheese,NA,NA,NA,NA,NA,NA,NA,NA
2015-000117,2-Jan-15,19:23:02,36.75,2,medium,peppr_salami,large,sicilian,NA,NA,NA,NA,NA,NA
2015-000118,2-Jan-15,19:26:59,32.75,2,large,prsc_argla,small,spinach_fet,NA,NA,NA,NA,NA,NA
2015-000119,2-Jan-15,19:32:29,14.75,1,medium,four_cheese,NA,NA,NA,NA,NA,NA,NA,NA
2015-000120,2-Jan-15,19:35:07,42.75,3,large,spinach_fet,small,hawaiian,small,classic_dlx,NA,NA,NA,NA
2015-000121,2-Jan-15,19:38:48,75.7,4,large,sicilian,medium,bbq_ckn,large,southw_ckn,large,four_cheese,NA,NA
2015-000122,2-Jan-15,19:50:19,16.5,1,medium,ital_supr,NA,NA,NA,NA,NA,NA,NA,NA
2015-000123,2-Jan-15,20:12:09,12,1,small,ital_cpcllo,NA,NA,NA,NA,NA,NA,NA,NA
2015-000124,2-Jan-15,20:12:34,65.75,4,small,bbq_ckn,small,the_greek,large,sicilian,large,spicy_ital,NA,NA
2015-000125,2-Jan-15,20:31:06,25.5,1,x-large,the_greek,NA,NA,NA,NA,NA,NA,NA,NA
2015-000126,2-Jan-15,20:53:42,20.25,1,large,veggie_veg,NA,NA,NA,NA,NA,NA,NA,NA
2015-000127,2-Jan-15,20:58:23,12.5,1,medium,pepperoni,NA,NA,NA,NA,NA,NA,NA,NA
2015-000128,2-Jan-15,21:05:06,12.5,1,small,spicy_ital,NA,NA,NA,NA,NA,NA,NA,NA
2015-000129,2-Jan-15,21:13:02,28,2,small,big_meat,medium,the_greek,NA,NA,NA,NA,NA,NA
2015-000130,2-Jan-15,21:14:55,59.75,4,medium,mexicana,small,southw_ckn,large,ital_cpcllo,small,hawaiian,NA,NA
2015-000131,2-Jan-15,21:33:10,63.75,4,small,spinach_supr,large,five_cheese,small,green_garden,large,ckn_pesto,NA,NA
2015-000132,2-Jan-15,21:42:45,9.75,1,small,pepperoni,NA,NA,NA,NA,NA,NA,NA,NA
2015-000133,2-Jan-15,22:00:17,49.25,3,large,bbq_ckn,large,hawaiian,small,the_greek,NA,NA,NA,NA
2015-000134,2-Jan-15,22:13:24,45.25,3,large,southw_ckn,small,spinach_supr,small,big_meat,NA,NA,NA,NA
2015-000135,2-Jan-15,22:29:34,20.25,1,large,veggie_veg,NA,NA,NA,NA,NA,NA,NA,NA
2015-000136,2-Jan-15,22:32:49,31,2,small,peppr_salami,large,five_cheese,NA,NA,NA,NA,NA,NA
2015-000137,3-Jan-15,11:34:10,46.5,3,large,mediterraneo,medium,spicy_ital,small,pepperoni,NA,NA,NA,NA
2015-000138,3-Jan-15,11:44:50,71.95,4,large,ital_veggie,medium,sicilian,large,four_cheese,medium,cali_ckn,NA,NA
2015-000139,3-Jan-15,11:57:39,18.5,1,large,five_cheese,NA,NA,NA,NA,NA,NA,NA,NA
2015-000140,3-Jan-15,12:26:44,28.5,2,medium,veggie_veg,small,prsc_argla,NA,NA,NA,NA,NA,NA
2015-000141,3-Jan-15,13:16:01,16,1,medium,classic_dlx,NA,NA,NA,NA,NA,NA,NA,NA
2015-000142,3-Jan-15,13:33:59,16,1,medium,green_garden,NA,NA,NA,NA,NA,NA,NA,NA
2015-000143,3-Jan-15,13:41:36,121.75,8,large,pepperoni,medium,mexicana,small,classic_dlx,large,thai_ckn,small,cali_ckn
2015-000144,3-Jan-15,13:44:28,238.45,14,large,five_cheese,large,veggie_veg,small,southw_ckn,medium,thai_ckn,medium,bbq_ckn
2015-000145,3-Jan-15,13:53:48,12,1,small,the_greek,NA,NA,NA,NA,NA,NA,NA,NA
2015-000146,3-Jan-15,14:22:10,48.75,3,large,cali_ckn,medium,four_cheese,medium,hawaiian,NA,NA,NA,NA
2015-000147,3-Jan-15,14:32:51,25.5,1,x-large,the_greek,NA,NA,NA,NA,NA,NA,NA,NA
2015-000148,3-Jan-15,14:40:42,12,1,small,mediterraneo,NA,NA,NA,NA,NA,NA,NA,NA
2015-000149,3-Jan-15,14:48:45,16,1,medium,spinach_fet,NA,NA,NA,NA,NA,NA,NA,NA
2015-000150,3-Jan-15,14:49:58,12.5,1,medium,pepperoni,NA,NA,NA,NA,NA,NA,NA,NA
2015-000151,3-Jan-15,15:09:34,33.25,2,small,spinach_supr,large,southw_ckn,NA,NA,NA,NA,NA,NA
2015-000152,3-Jan-15,15:09:42,59.5,4,medium,the_greek,small,thai_ckn,large,spinach_fet,small,hawaiian,NA,NA
2015-000153,3-Jan-15,15:16:34,16,1,medium,mexicana,NA,NA,NA,NA,NA,NA,NA,NA
2015-000154,3-Jan-15,15:22:43,12.5,1,small,prsc_argla,NA,NA,NA,NA,NA,NA,NA,NA
2015-000155,3-Jan-15,15:28:59,69.25,4,large,pepperoni,small,ckn_pesto,large,napolitana,large,peppr_salami,NA,NA
2015-000156,3-Jan-15,15:42:19,36.75,2,large,thai_ckn,medium,napolitana,NA,NA,NA,NA,NA,NA
2015-000157,3-Jan-15,15:43:03,69.5,4,medium,sicilian,medium,spin_pesto,medium,mediterraneo,large,ital_supr,NA,NA
2015-000158,3-Jan-15,15:54:30,33.5,2,medium,thai_ckn,medium,ital_veggie,NA,NA,NA,NA,NA,NA
2015-000159,3-Jan-15,15:59:22,34.7,2,medium,thai_ckn,large,four_cheese,NA,NA,NA,NA,NA,NA
2015-000160,3-Jan-15,16:35:33,16,1,medium,classic_dlx,NA,NA,NA,NA,NA,NA,NA,NA
2015-000161,3-Jan-15,16:43:46,52.5,3,small,hawaiian,x-large,the_greek,medium,spicy_ital,NA,NA,NA,NA
2015-000162,3-Jan-15,16:51:22,12,1,small,big_meat,NA,NA,NA,NA,NA,NA,NA,NA
2015-000163,3-Jan-15,16:54:54,44.5,3,medium,the_greek,medium,hawaiian,large,pepperoni,NA,NA,NA,NA
2015-000164,3-Jan-15,16:56:33,33.25,2,medium,pepperoni,large,cali_ckn,NA,NA,NA,NA,NA,NA
2015-000165,3-Jan-15,16:57:37,16.5,1,medium,prsc_argla,NA,NA,NA,NA,NA,NA,NA,NA
2015-000166,3-Jan-15,16:58:51,12.5,1,small,prsc_argla,NA,NA,NA,NA,NA,NA,NA,NA
2015-000167,3-Jan-15,17:00:49,49.75,3,large,bbq_ckn,medium,pepperoni,medium,ital_supr,NA,NA,NA,NA
2015-000168,3-Jan-15,17:02:27,28,2,medium,veggie_veg,small,big_meat,NA,NA,NA,NA,NA,NA
2015-000169,3-Jan-15,17:15:48,46.2,3,medium,sicilian,large,four_cheese,small,ital_cpcllo,NA,NA,NA,NA
2015-000170,3-Jan-15,17:21:31,16.5,1,large,hawaiian,NA,NA,NA,NA,NA,NA,NA,NA
2015-000171,3-Jan-15,17:23:03,16,1,medium,napolitana,NA,NA,NA,NA,NA,NA,NA,NA
2015-000172,3-Jan-15,17:29:24,49.25,3,large,thai_ckn,medium,spinach_supr,small,napolitana,NA,NA,NA,NA
2015-000173,3-Jan-15,17:35:30,53,3,medium,cali_ckn,medium,classic_dlx,large,veggie_veg,NA,NA,NA,NA
2015-000174,3-Jan-15,17:37:49,65.5,4,small,big_meat,medium,cali_ckn,medium,ital_cpcllo,large,cali_ckn,NA,NA
2015-000175,3-Jan-15,17:50:51,20.75,1,large,ital_supr,NA,NA,NA,NA,NA,NA,NA,NA
2015-000176,3-Jan-15,17:51:57,37.25,2,large,cali_ckn,medium,peppr_salami,NA,NA,NA,NA,NA,NA
2015-000177,3-Jan-15,17:54:36,32.75,2,large,thai_ckn,small,napolitana,NA,NA,NA,NA,NA,NA
2015-000178,3-Jan-15,18:15:03,20.75,1,large,peppr_salami,NA,NA,NA,NA,NA,NA,NA,NA
2015-000179,3-Jan-15,18:20:14,44.75,3,medium,sicilian,small,veggie_veg,large,hawaiian,NA,NA,NA,NA
2015-000180,3-Jan-15,18:33:34,41.25,2,large,prsc_argla,large,classic_dlx,NA,NA,NA,NA,NA,NA
2015-000181,3-Jan-15,18:49:32,20.25,1,large,mexicana,NA,NA,NA,NA,NA,NA,NA,NA
2015-000182,3-Jan-15,18:50:10,44.4,2,large,peppr_salami,small,brie_carre,NA,NA,NA,NA,NA,NA
2015-000183,3-Jan-15,18:54:55,49.25,3,small,spin_pesto,large,spin_pesto,medium,napolitana,NA,NA,NA,NA
2015-000184,3-Jan-15,18:59:05,16.5,1,large,hawaiian,NA,NA,NA,NA,NA,NA,NA,NA
2015-000185,3-Jan-15,19:08:33,28.75,2,medium,sicilian,small,spin_pesto,NA,NA,NA,NA,NA,NA
2015-000186,3-Jan-15,19:36:00,82.5,4,large,spin_pesto,large,southw_ckn,large,mexicana,large,thai_ckn,NA,NA
2015-000187,3-Jan-15,19:37:12,39.25,2,large,five_cheese,large,spin_pesto,NA,NA,NA,NA,NA,NA
2015-000188,3-Jan-15,20:08:39,49,3,large,peppr_salami,large,five_cheese,small,pepperoni,NA,NA,NA,NA
2015-000189,3-Jan-15,20:12:14,36.75,3,small,thai_ckn,small,big_meat,small,big_meat,NA,NA,NA,NA
2015-000190,3-Jan-15,20:14:23,67.25,4,small,pep_msh_pep,large,prsc_argla,medium,four_cheese,large,bbq_ckn,NA,NA
2015-000191,3-Jan-15,20:24:50,37.5,2,large,cali_ckn,medium,ckn_alfredo,NA,NA,NA,NA,NA,NA
2015-000192,3-Jan-15,20:30:08,33,2,large,southw_ckn,small,sicilian,NA,NA,NA,NA,NA,NA
2015-000193,3-Jan-15,20:55:47,70.25,4,small,big_meat,medium,cali_ckn,large,ckn_alfredo,large,ckn_alfredo,NA,NA
2015-000194,3-Jan-15,21:21:24,12.75,1,small,bbq_ckn,NA,NA,NA,NA,NA,NA,NA,NA
2015-000195,3-Jan-15,21:25:20,20.75,1,large,bbq_ckn,NA,NA,NA,NA,NA,NA,NA,NA
2015-000196,3-Jan-15,21:40:14,44.75,3,medium,veggie_veg,small,sicilian,medium,spicy_ital,NA,NA,NA,NA
2015-000197,3-Jan-15,21:47:48,80.2,4,large,ital_cpcllo,large,soppressata,large,four_cheese,large,ital_veggie,NA,NA
2015-000198,3-Jan-15,21:55:42,32.75,2,small,big_meat,large,ckn_alfredo,NA,NA,NA,NA,NA,NA
2015-000199,3-Jan-15,22:10:38,16.75,1,medium,ckn_alfredo,NA,NA,NA,NA,NA,NA,NA,NA
2015-000200,3-Jan-15,22:24:05,25.5,1,x-large,the_greek,NA,NA,NA,NA,NA,NA,NA,NA
2015-000201,3-Jan-15,22:29:59,83.25,4,x-large,the_greek,large,ital_supr,large,ckn_pesto,medium,calabrese,NA,NA
2015-000202,3-Jan-15,22:50:29,12.75,1,small,cali_ckn,NA,NA,NA,NA,NA,NA,NA,NA
2015-000203,4-Jan-15,11:30:48,67,4,small,the_greek,large,cali_ckn,medium,ital_veggie,large,pep_msh_pep,NA,NA
2015-000204,4-Jan-15,11:36:25,20.75,1,large,spicy_ital,NA,NA,NA,NA,NA,NA,NA,NA
2015-000205,4-Jan-15,11:43:54,42,3,small,cali_ckn,medium,ckn_alfredo,small,prsc_argla,NA,NA,NA,NA
2015-000206,4-Jan-15,11:45:10,46.5,3,medium,napolitana,small,pepperoni,large,spicy_ital,NA,NA,NA,NA
2015-000207,4-Jan-15,12:03:58,20.75,1,large,spicy_ital,NA,NA,NA,NA,NA,NA,NA,NA
2015-000208,4-Jan-15,12:12:05,78.75,5,large,bbq_ckn,medium,pepperoni,medium,the_greek,small,bbq_ckn,medium,ckn_alfredo
2015-000209,4-Jan-15,12:29:17,20.75,1,large,cali_ckn,NA,NA,NA,NA,NA,NA,NA,NA
2015-000210,4-Jan-15,12:34:13,12,1,small,spinach_fet,NA,NA,NA,NA,NA,NA,NA,NA
2015-000211,4-Jan-15,12:54:20,9.75,1,small,pepperoni,NA,NA,NA,NA,NA,NA,NA,NA
2015-000212,4-Jan-15,13:16:03,20.5,1,large,ital_cpcllo,NA,NA,NA,NA,NA,NA,NA,NA
2015-000213,4-Jan-15,13:20:39,17.95,1,large,four_cheese,NA,NA,NA,NA,NA,NA,NA,NA
2015-000214,4-Jan-15,13:39:16,65.5,4,small,mexicana,medium,spin_pesto,large,ital_cpcllo,medium,ital_supr,NA,NA
2015-000215,4-Jan-15,13:44:49,12,1,small,green_garden,NA,NA,NA,NA,NA,NA,NA,NA
2015-000216,4-Jan-15,14:31:56,51.75,3,large,five_cheese,large,hawaiian,medium,bbq_ckn,NA,NA,NA,NA
2015-000217,4-Jan-15,14:35:03,28,2,small,spinach_fet,medium,classic_dlx,NA,NA,NA,NA,NA,NA
2015-000218,4-Jan-15,14:35:11,16.5,1,medium,spicy_ital,NA,NA,NA,NA,NA,NA,NA,NA
2015-000219,4-Jan-15,14:42:01,71.75,4,medium,peppr_salami,large,five_cheese,large,bbq_ckn,medium,spinach_fet,NA,NA
2015-000220,4-Jan-15,15:31:59,63.75,4,small,hawaiian,large,napolitana,small,ital_cpcllo,large,spicy_ital,NA,NA
2015-000221,4-Jan-15,15:33:18,47,3,large,five_cheese,medium,prsc_argla,small,the_greek,NA,NA,NA,NA
2015-000222,4-Jan-15,15:46:38,30.2,2,large,four_cheese,small,sicilian,NA,NA,NA,NA,NA,NA
2015-000223,4-Jan-15,16:08:20,11,1,small,pep_msh_pep,NA,NA,NA,NA,NA,NA,NA,NA
